BORN WRONG — IMAGE TIMESTAMP REFERENCE TABLE

IMAGE | START | END   | SCRIPT BEAT
------|-------|-------|-------------------------------------------------------------
1     | 0:00  | 0:02  | Imagine you are a mother in ancient Rome
2     | 0:02  | 0:05  | You have just survived childbirth, one of the most
3     | 0:05  | 0:07  | dangerous things a woman in the ancient world could do
4     | 0:07  | 0:10  | The midwife lifts the baby and turns
5     | 0:10  | 0:12  | to hand it to you
6     | 0:12  | 0:15  | And you look down
7     | 0:15  | 0:17  | And you freeze
8     | 0:17  | 0:20  | Not because you are confused
9     | 0:20  | 0:22  | not because you are delirious from pain
10    | 0:22  | 0:25  | but because what is lying there, breathing, moving
11    | 0:25  | 0:27  | making sounds, does not look like a human child
12    | 0:27  | 0:30  | It looks like something that came from somewhere else
13    | 0:30  | 0:32  | This was not a rare moment in ancient history
14    | 0:32  | 0:35  | It happened more than you think
15    | 0:35  | 0:37  | And what happened next, what these parents did
16    | 0:37  | 0:40  | what their communities demanded
17    | 0:40  | 0:42  | what their priests ordered
18    | 0:42  | 0:45  | is one of the darkest most disturbing chapters in human history
19    | 0:45  | 0:47  | Across almost every ancient civilization on earth
20    | 0:47  | 0:50  | Celtic tribes in Britain
21    | 0:50  | 0:52  | Roman settlements across Europe
22    | 0:52  | 0:55  | Norse villages buried in snow
23    | 0:55  | 0:57  | African kingdoms deep in the forest
24    | 0:57  | 1:00  | indigenous communities from every continent
25    | 1:00  | 1:02  | there existed a belief so powerful
26    | 1:02  | 1:05  | it overrode the most fundamental human instinct
27    | 1:05  | 1:07  | The instinct to protect your own child. The belief was this
28    | 1:07  | 1:10  | Sometimes in the dead of night a supernatural force
29    | 1:10  | 1:12  | fairies demons forest spirits underworld gods
30    | 1:12  | 1:15  | would creep into a home
31    | 1:15  | 1:17  | steal the real human baby
32    | 1:17  | 1:20  | and leave behind a replacement a fake
33    | 1:20  | 1:22  | a creature wearing the face of your child but carrying nothing human inside
34    | 1:22  | 1:25  | They called it a changeling
35    | 1:25  | 1:27  | And the way you knew your baby had been replaced was simple
36    | 1:27  | 1:30  | It looked wrong
37    | 1:30  | 1:32  | It behaved wrong
38    | 1:32  | 1:35  | It felt wrong
39    | 1:35  | 1:37  | What these ancient people did not know
40    | 1:37  | 1:40  | what no one on earth knew for thousands of years
41    | 1:40  | 1:42  | is that the children they were looking at were not demons
42    | 1:42  | 1:45  | They were children born with conditions
43    | 1:45  | 1:47  | that medicine had no language for yet
44    | 1:47  | 1:50  | And those conditions what they looked like
45    | 1:50  | 1:52  | what they did to a human body
46    | 1:52  | 1:55  | will make you understand exactly why ancient people reacted the way they did
47    | 1:55  | 1:57  | And then it will make you question
48    | 1:57  | 2:00  | whether that understanding makes what they did forgivable
49    | 2:00  | 2:02  | The first condition that triggered this terror
50    | 2:02  | 2:05  | was found not in the behavior of the child but in its skin
51    | 2:05  | 2:07  | The midwife would notice it immediately
