VIDEO 4 — "Do Animals Remember the Humans Who Hurt Them?"
CapCut Editing Sheet — image durations by beat (total 7:47 / 112 images)
Image numbers align 1:1 with the Auto Flow Packet prompts.

 IMG | BEAT  |  START |    END |   DUR
------------------------------------------
   1 | 1     |   0:00 |   0:03 |    3s
   2 | 2     |   0:03 |   0:06 |    3s
   3 | 3     |   0:06 |   0:09 |    3s
   4 | 4     |   0:09 |   0:12 |    3s
   5 | 5     |   0:12 |   0:16 |    4s
   6 | 6     |   0:16 |   0:20 |    4s
   7 | 7     |   0:20 |   0:24 |    4s
   8 | 8     |   0:24 |   0:27 |    3s
   9 | 9     |   0:27 |   0:30 |    3s
  10 | 10    |   0:30 |   0:32 |    2s
  11 | 11    |   0:32 |   0:36 |    4s
  12 | 12    |   0:36 |   0:39 |    3s
  13 | 13    |   0:39 |   0:42 |    3s
  14 | 14    |   0:42 |   0:46 |    4s
  15 | 15    |   0:46 |   0:51 |    5s
  16 | 16    |   0:51 |   0:54 |    3s
  17 | 17    |   0:54 |   0:56 |    2s
  18 | 18    |   0:56 |   1:00 |    4s
  19 | 19    |   1:00 |   1:04 |    4s
  20 | 20    |   1:04 |   1:07 |    3s
  21 | 21    |   1:07 |   1:10 |    3s
  22 | 22    |   1:10 |   1:13 |    3s
  23 | 23    |   1:13 |   1:17 |    4s
  24 | 24    |   1:17 |   1:21 |    4s
  25 | 25    |   1:21 |   1:24 |    3s
  26 | 26    |   1:24 |   1:28 |    4s
  27 | 27    |   1:28 |   1:31 |    3s
  28 | 28    |   1:31 |   1:35 |    4s
  29 | 29    |   1:35 |   1:38 |    3s
  30 | 30    |   1:38 |   1:43 |    5s
  31 | 31    |   1:43 |   1:48 |    5s
  32 | 32    |   1:48 |   1:53 |    5s
  33 | 33    |   1:53 |   1:58 |    5s
  34 | 34    |   1:58 |   2:01 |    3s
  35 | 35    |   2:01 |   2:07 |    6s
  36 | 36    |   2:07 |   2:13 |    6s
  37 | 37    |   2:13 |   2:15 |    2s
  38 | 38    |   2:15 |   2:20 |    5s
  39 | 39    |   2:20 |   2:24 |    4s
  40 | 40    |   2:24 |   2:27 |    3s
  41 | 41    |   2:27 |   2:30 |    3s
  42 | 42    |   2:30 |   2:33 |    3s
  43 | 43    |   2:33 |   2:37 |    4s
  44 | 44    |   2:37 |   2:39 |    2s
  45 | 45    |   2:39 |   2:45 |    6s
  46 | 46    |   2:45 |   2:50 |    5s
  47 | 47    |   2:50 |   2:55 |    5s
  48 | 48    |   2:55 |   3:03 |    8s
  49 | 49    |   3:03 |   3:07 |    4s
  50 | 50    |   3:07 |   3:10 |    3s
  51 | 51    |   3:10 |   3:16 |    6s
  52 | 52    |   3:16 |   3:22 |    6s
  53 | 53    |   3:22 |   3:28 |    6s
  54 | 54    |   3:28 |   3:32 |    4s
  55 | 55    |   3:32 |   3:35 |    3s
  56 | 56    |   3:35 |   3:41 |    6s
  57 | 57    |   3:41 |   3:46 |    5s
  58 | 58    |   3:46 |   3:50 |    4s
  59 | 59    |   3:50 |   3:53 |    3s
  60 | 60    |   3:53 |   3:57 |    4s
  61 | 61    |   3:57 |   4:00 |    3s
  62 | 62    |   4:00 |   4:08 |    8s
  63 | 63    |   4:08 |   4:11 |    3s
  64 | 64    |   4:11 |   4:14 |    3s
  65 | 65    |   4:14 |   4:19 |    5s
  66 | 66    |   4:19 |   4:22 |    3s
  67 | 67    |   4:22 |   4:30 |    8s
