VIDEO 4 SHORT — "Do Animals Remember the Humans Who Hurt Them?"
CapCut Editing Sheet — VERTICAL 9:16 — image durations (total ~1:36 / 31 images)
Image numbers align 1:1 with the Short Auto Flow Packet prompts.

 IMG |  START |    END |   DUR
----------------------------------
   1 |   0:00 |   0:03 |    3s
   2 |   0:03 |   0:05 |    2s
   3 |   0:05 |   0:08 |    3s
   4 |   0:08 |   0:10 |    2s
   5 |   0:10 |   0:13 |    3s
   6 |   0:13 |   0:15 |    2s
   7 |   0:15 |   0:18 |    3s
   8 |   0:18 |   0:21 |    3s
   9 |   0:21 |   0:24 |    3s
  10 |   0:24 |   0:27 |    3s
  11 |   0:27 |   0:31 |    4s
  12 |   0:31 |   0:33 |    2s
  13 |   0:33 |   0:35 |    2s
  14 |   0:35 |   0:41 |    6s
  15 |   0:41 |   0:44 |    3s
  16 |   0:44 |   0:45 |    1s
  17 |   0:45 |   0:47 |    2s
  18 |   0:47 |   0:50 |    3s
  19 |   0:50 |   0:53 |    3s
  20 |   0:53 |   0:57 |    4s
  21 |   0:57 |   1:02 |    5s
  22 |   1:02 |   1:05 |    3s
  23 |   1:05 |   1:08 |    3s
  24 |   1:08 |   1:11 |    3s
  25 |   1:11 |   1:14 |    3s
  26 |   1:14 |   1:18 |    4s
  27 |   1:18 |   1:21 |    3s
  28 |   1:21 |   1:25 |    4s
  29 |   1:25 |   1:31 |    6s
  30 |   1:31 |   1:33 |    2s
  31 |   1:33 |   1:36 |    3s
----------------------------------
Images: 31   Covered: 1:36   Avg: 3.1s/image
