VIDEO 5 — "The Dark Isn't What You're Afraid Of"
CapCut Editing Sheet — image durations by beat (total 8:00 / 115 images)

 IMG | BEAT  |  START |    END |   DUR
------------------------------------------
   1 | 1A    |   0:00 |   0:03 |    3s
   2 | 1B    |   0:03 |   0:06 |    3s
   3 | 2A    |   0:06 |   0:10 |    4s
   4 | 2B    |   0:10 |   0:13 |    3s
   5 | 3A    |   0:13 |   0:16 |    3s
   6 | 3B    |   0:16 |   0:19 |    3s
   7 | 4A    |   0:19 |   0:22 |    3s
   8 | 4B    |   0:22 |   0:25 |    3s
   9 | 5A    |   0:25 |   0:29 |    4s
  10 | 5B    |   0:29 |   0:33 |    4s
  11 | 6A    |   0:33 |   0:36 |    3s
  12 | 6B    |   0:36 |   0:39 |    3s
  13 | 7A    |   0:39 |   0:44 |    5s
  14 | 7B    |   0:44 |   0:49 |    5s
  15 | 8A    |   0:49 |   0:52 |    3s
  16 | 8B    |   0:52 |   0:54 |    2s
  17 | 9A    |   0:54 |   0:58 |    4s
  18 | 9B    |   0:58 |   1:01 |    3s
  19 | 10A   |   1:01 |   1:06 |    5s
  20 | 10B   |   1:06 |   1:13 |    7s
  21 | 11A   |   1:13 |   1:16 |    3s
  22 | 11B   |   1:16 |   1:18 |    2s
  23 | 12A   |   1:18 |   1:22 |    4s
  24 | 12B   |   1:22 |   1:24 |    2s
  25 | 13A   |   1:24 |   1:27 |    3s
  26 | 13B   |   1:27 |   1:29 |    2s
  27 | 14    |   1:29 |   1:36 |    7s
  28 | 15A   |   1:36 |   1:39 |    3s
  29 | 15B   |   1:39 |   1:42 |    3s
  30 | 16    |   1:42 |   1:46 |    4s
  31 | 17A   |   1:46 |   1:51 |    5s
  32 | 17B   |   1:51 |   1:55 |    4s
  33 | 18    |   1:55 |   1:58 |    3s
  34 | 19A   |   1:58 |   2:01 |    3s
  35 | 19B   |   2:01 |   2:04 |    3s
  36 | 20A   |   2:04 |   2:08 |    4s
  37 | 20B   |   2:08 |   2:12 |    4s
  38 | 21A   |   2:12 |   2:15 |    3s
  39 | 21B   |   2:15 |   2:17 |    2s
  40 | 22A   |   2:17 |   2:20 |    3s
  41 | 22B   |   2:20 |   2:23 |    3s
  42 | 23A   |   2:23 |   2:27 |    4s
  43 | 23B   |   2:27 |   2:30 |    3s
  44 | 24A   |   2:30 |   2:33 |    3s
  45 | 24B   |   2:33 |   2:35 |    2s
  46 | 25A   |   2:35 |   2:38 |    3s
  47 | 25B   |   2:38 |   2:42 |    4s
  48 | 26A   |   2:42 |   2:46 |    4s
  49 | 26B   |   2:46 |   2:49 |    3s
  50 | 27A   |   2:49 |   2:53 |    4s
  51 | 27B   |   2:53 |   2:56 |    3s
  52 | 28A   |   2:56 |   3:01 |    5s
  53 | 28B   |   3:01 |   3:08 |    7s
  54 | 29A   |   3:08 |   3:11 |    3s
  55 | 29B   |   3:11 |   3:13 |    2s
  56 | 30A   |   3:13 |   3:16 |    3s
  57 | 30B   |   3:16 |   3:18 |    2s
  58 | 31A   |   3:18 |   3:22 |    4s
  59 | 31B   |   3:22 |   3:25 |    3s
  60 | 32A   |   3:25 |   3:28 |    3s
  61 | 32B   |   3:28 |   3:30 |    2s
  62 | 33A   |   3:30 |   3:34 |    4s
  63 | 33B   |   3:34 |   3:37 |    3s
  64 | 34A   |   3:37 |   3:41 |    4s
  65 | 34B   |   3:41 |   3:44 |    3s
  66 | 35A   |   3:44 |   3:50 |    6s
  67 | 35B   |   3:50 |   3:56 |    6s
  68 | 36A   |   3:56 |   4:00 |    4s
  69 | 36B   |   4:00 |   4:04 |    4s
  70 | 37A   |   4:04 |   4:08 |    4s
  71 | 37B   |   4:08 |   4:10 |    2s
  72 | 38A   |   4:10 |   4:16 |    6s
  73 | 38B   |   4:16 |   4:20 |    4s
  74 | 39A   |   4:20 |   4:23 |    3s
  75 | 39B   |   4:23 |   4:29 |    6s
  76 | 40A   |   4:29 |   4:33 |    4s
  77 | 40B   |   4:33 |   4:35 |    2s
  78 | 41A   |   4:35 |   4:40 |    5s
  79 | 41B   |   4:40 |   4:46 |    6s
  80 | 42A   |   4:46 |   4:53 |    7s
  81 | 42B   |   4:53 |   4:58 |    5s
  82 | 43A   |   4:58 |   5:02 |    4s
  83 | 43B   |   5:02 |   5:06 |    4s
  84 | 44A   |   5:06 |   5:10 |    4s
  85 | 44B   |   5:10 |   5:12 |    2s
  86 | 45A   |   5:12 |   5:18 |    6s
