VIDEO 5 SHORT — "The Dark Isn't What You're Afraid Of"
CapCut Editing Sheet — VERTICAL 9:16 — image durations (total ~1:30 / 29 images)
Image numbers align 1:1 with the Short Auto Flow Packet prompts.

 IMG |  START |    END |   DUR
----------------------------------
   1 |   0:00 |   0:03 |    3s
   2 |   0:03 |   0:06 |    3s
   3 |   0:06 |   0:09 |    3s
   4 |   0:09 |   0:12 |    3s
   5 |   0:12 |   0:15 |    3s
   6 |   0:15 |   0:17 |    2s
   7 |   0:17 |   0:20 |    3s
   8 |   0:20 |   0:25 |    5s
   9 |   0:25 |   0:27 |    2s
  10 |   0:27 |   0:30 |    3s
  11 |   0:30 |   0:33 |    3s
  12 |   0:33 |   0:36 |    3s
  13 |   0:36 |   0:39 |    3s
  14 |   0:39 |   0:42 |    3s
  15 |   0:42 |   0:44 |    2s
  16 |   0:44 |   0:47 |    3s
  17 |   0:47 |   0:50 |    3s
  18 |   0:50 |   0:54 |    4s
  19 |   0:54 |   0:57 |    3s
  20 |   0:57 |   1:00 |    3s
  21 |   1:00 |   1:03 |    3s
  22 |   1:03 |   1:07 |    4s
  23 |   1:07 |   1:10 |    3s
  24 |   1:10 |   1:14 |    4s
  25 |   1:14 |   1:17 |    3s
  26 |   1:17 |   1:20 |    3s
  27 |   1:20 |   1:24 |    4s
  28 |   1:24 |   1:27 |    3s
  29 |   1:27 |   1:30 |    3s
----------------------------------
Images: 29   Covered: 1:30   Avg: 3.1s/image
