VIDEO 6 — "The Village Where Everyone Kept Falling Asleep"
CapCut Editing Sheet — image durations by beat (total 7:43 / 110 images)
Image numbers align 1:1 with the Auto Flow Packet prompts.

 IMG |  START |    END |   DUR
----------------------------------
   1 |   0:00 |   0:03 |    3s
   2 |   0:03 |   0:06 |    3s
   3 |   0:06 |   0:09 |    3s
   4 |   0:09 |   0:11 |    2s
   5 |   0:11 |   0:14 |    3s
   6 |   0:14 |   0:18 |    4s
   7 |   0:18 |   0:21 |    3s
   8 |   0:21 |   0:24 |    3s
   9 |   0:24 |   0:27 |    3s
  10 |   0:27 |   0:30 |    3s
  11 |   0:30 |   0:34 |    4s
  12 |   0:34 |   0:38 |    4s
  13 |   0:38 |   0:40 |    2s
  14 |   0:40 |   0:44 |    4s
  15 |   0:44 |   0:48 |    4s
  16 |   0:48 |   0:52 |    4s
  17 |   0:52 |   0:56 |    4s
  18 |   0:56 |   0:59 |    3s
  19 |   0:59 |   1:03 |    4s
  20 |   1:03 |   1:07 |    4s
  21 |   1:07 |   1:10 |    3s
  22 |   1:10 |   1:14 |    4s
  23 |   1:14 |   1:19 |    5s
  24 |   1:19 |   1:24 |    5s
  25 |   1:24 |   1:28 |    4s
  26 |   1:28 |   1:31 |    3s
  27 |   1:31 |   1:35 |    4s
  28 |   1:35 |   1:41 |    6s
  29 |   1:41 |   1:44 |    3s
  30 |   1:44 |   1:48 |    4s
  31 |   1:48 |   1:51 |    3s
  32 |   1:51 |   1:53 |    2s
  33 |   1:53 |   1:56 |    3s
  34 |   1:56 |   2:02 |    6s
  35 |   2:02 |   2:06 |    4s
  36 |   2:06 |   2:10 |    4s
  37 |   2:10 |   2:14 |    4s
  38 |   2:14 |   2:17 |    3s
  39 |   2:17 |   2:20 |    3s
  40 |   2:20 |   2:23 |    3s
  41 |   2:23 |   2:28 |    5s
  42 |   2:28 |   2:31 |    3s
  43 |   2:31 |   2:34 |    3s
  44 |   2:34 |   2:36 |    2s
  45 |   2:36 |   2:39 |    3s
  46 |   2:39 |   2:45 |    6s
  47 |   2:45 |   2:51 |    6s
  48 |   2:51 |   2:54 |    3s
  49 |   2:54 |   2:57 |    3s
  50 |   2:57 |   3:00 |    3s
  51 |   3:00 |   3:06 |    6s
  52 |   3:06 |   3:11 |    5s
  53 |   3:11 |   3:16 |    5s
  54 |   3:16 |   3:20 |    4s
  55 |   3:20 |   3:22 |    2s
  56 |   3:22 |   3:28 |    6s
  57 |   3:28 |   3:32 |    4s
  58 |   3:32 |   3:36 |    4s
  59 |   3:36 |   3:41 |    5s
  60 |   3:41 |   3:45 |    4s
  61 |   3:45 |   3:50 |    5s
  62 |   3:50 |   3:54 |    4s
  63 |   3:54 |   3:57 |    3s
  64 |   3:57 |   4:00 |    3s
  65 |   4:00 |   4:05 |    5s
  66 |   4:05 |   4:10 |    5s
  67 |   4:10 |   4:13 |    3s
  68 |   4:13 |   4:16 |    3s
  69 |   4:16 |   4:19 |    3s
  70 |   4:19 |   4:24 |    5s
  71 |   4:24 |   4:29 |    5s
  72 |   4:29 |   4:33 |    4s
  73 |   4:33 |   4:36 |    3s
  74 |   4:36 |   4:41 |    5s
  75 |   4:41 |   4:45 |    4s
  76 |   4:45 |   4:49 |    4s
  77 |   4:49 |   4:52 |    3s
  78 |   4:52 |   4:57 |    5s
  79 |   4:57 |   5:00 |    3s
  80 |   5:00 |   5:03 |    3s
  81 |   5:03 |   5:07 |    4s
  82 |   5:07 |   5:12 |    5s
  83 |   5:12 |   5:18 |    6s
  84 |   5:18 |   5:21 |    3s
  85 |   5:21 |   5:25 |    4s
  86 |   5:25 |   5:30 |    5s
  87 |   5:30 |   5:34 |    4s
  88 |   5:34 |   5:41 |    7s
  89 |   5:41 |   5:45 |    4s
  90 |   5:45 |   5:49 |    4s
  91 |   5:49 |   5:55 |    6s
  92 |   5:55 |   5:59 |    4s
  93 |   5:59 |   6:03 |    4s
  94 |   6:03 |   6:09 |    6s
  95 |   6:09 |   6:14 |    5s
  96 |   6:14 |   6:19 |    5s
  97 |   6:19 |   6:24 |    5s
  98 |   6:24 |   6:30 |    6s
  99 |   6:30 |   6:35 |    5s
 100 |   6:35 |   6:38 |    3s
 101 |   6:38 |   6:42 |    4s
 102 |   6:42 |   6:49 |    7s
 103 |   6:49 |   6:56 |    7s
 104 |   6:56 |   7:01 |    5s
 105 |   7:01 |   7:08 |    7s
 106 |   7:08 |   7:14 |    6s
 107 |   7:14 |   7:22 |    8s
 108 |   7:22 |   7:27 |    5s
 109 |   7:27 |   7:35 |    8s
 110 |   7:35 |   7:43 |    8s
----------------------------------
Images: 110   Covered: 7:43   Avg: 4.2s/image
