VIDEO 6 SHORT — "The Village Where Everyone Kept Falling Asleep"
CapCut Editing Sheet — VERTICAL 9:16 — image durations (total ~1:56 / 34 images)
Image numbers align 1:1 with the Short Auto Flow Packet prompts.

 IMG |  START |    END |   DUR
----------------------------------
   1 |   0:00 |   0:03 |    3s
   2 |   0:03 |   0:07 |    4s
   3 |   0:07 |   0:10 |    3s
   4 |   0:10 |   0:13 |    3s
   5 |   0:13 |   0:17 |    4s
   6 |   0:17 |   0:20 |    3s
   7 |   0:20 |   0:23 |    3s
   8 |   0:23 |   0:25 |    2s
   9 |   0:25 |   0:31 |    6s
  10 |   0:31 |   0:35 |    4s
  11 |   0:35 |   0:38 |    3s
  12 |   0:38 |   0:43 |    5s
  13 |   0:43 |   0:47 |    4s
  14 |   0:47 |   0:51 |    4s
  15 |   0:51 |   0:55 |    4s
  16 |   0:55 |   0:58 |    3s
  17 |   0:58 |   1:01 |    3s
  18 |   1:01 |   1:03 |    2s
  19 |   1:03 |   1:05 |    2s
  20 |   1:05 |   1:08 |    3s
  21 |   1:08 |   1:11 |    3s
  22 |   1:11 |   1:14 |    3s
  23 |   1:14 |   1:17 |    3s
  24 |   1:17 |   1:20 |    3s
  25 |   1:20 |   1:23 |    3s
  26 |   1:23 |   1:25 |    2s
  27 |   1:25 |   1:30 |    5s
  28 |   1:30 |   1:33 |    3s
  29 |   1:33 |   1:36 |    3s
  30 |   1:36 |   1:39 |    3s
  31 |   1:39 |   1:42 |    3s
  32 |   1:42 |   1:45 |    3s
  33 |   1:45 |   1:50 |    5s
  34 |   1:50 |   1:56 |    6s
----------------------------------
Images: 34   Covered: 1:56   Avg: 3.4s/image
