VIDEO 7 — "How Long Would We Last Without Drugs?"
CapCut Editing Sheet — image durations by beat (total 6:58 / 85 images)
Image numbers align 1:1 with the Auto Flow Packet prompts.

 IMG |  START |    END |   DUR
----------------------------------
   1 |   0:00 |   0:03 |    3s
   2 |   0:03 |   0:07 |    4s
   3 |   0:07 |   0:11 |    4s
   4 |   0:11 |   0:14 |    3s
   5 |   0:14 |   0:17 |    3s
   6 |   0:17 |   0:22 |    5s
   7 |   0:22 |   0:26 |    4s
   8 |   0:26 |   0:29 |    3s
   9 |   0:29 |   0:32 |    3s
  10 |   0:32 |   0:38 |    6s
  11 |   0:38 |   0:43 |    5s
  12 |   0:43 |   0:48 |    5s
  13 |   0:48 |   0:54 |    6s
  14 |   0:54 |   0:59 |    5s
  15 |   0:59 |   1:05 |    6s
  16 |   1:05 |   1:10 |    5s
  17 |   1:10 |   1:14 |    4s
  18 |   1:14 |   1:18 |    4s
  19 |   1:18 |   1:22 |    4s
  20 |   1:22 |   1:25 |    3s
  21 |   1:25 |   1:30 |    5s
  22 |   1:30 |   1:34 |    4s
  23 |   1:34 |   1:37 |    3s
  24 |   1:37 |   1:42 |    5s
  25 |   1:42 |   1:46 |    4s
  26 |   1:46 |   1:49 |    3s
  27 |   1:49 |   1:53 |    4s
  28 |   1:53 |   1:58 |    5s
  29 |   1:58 |   2:02 |    4s
  30 |   2:02 |   2:05 |    3s
  31 |   2:05 |   2:10 |    5s
  32 |   2:10 |   2:16 |    6s
  33 |   2:16 |   2:21 |    5s
  34 |   2:21 |   2:27 |    6s
  35 |   2:27 |   2:31 |    4s
  36 |   2:31 |   2:34 |    3s
  37 |   2:34 |   2:37 |    3s
  38 |   2:37 |   2:41 |    4s
  39 |   2:41 |   2:44 |    3s
  40 |   2:44 |   2:50 |    6s
  41 |   2:50 |   2:57 |    7s
  42 |   2:57 |   3:03 |    6s
  43 |   3:03 |   3:09 |    6s
  44 |   3:09 |   3:16 |    7s
  45 |   3:16 |   3:22 |    6s
  46 |   3:22 |   3:27 |    5s
  47 |   3:27 |   3:32 |    5s
  48 |   3:32 |   3:38 |    6s
  49 |   3:38 |   3:44 |    6s
  50 |   3:44 |   3:51 |    7s
  51 |   3:51 |   3:57 |    6s
  52 |   3:57 |   4:04 |    7s
  53 |   4:04 |   4:10 |    6s
  54 |   4:10 |   4:14 |    4s
  55 |   4:14 |   4:19 |    5s
  56 |   4:19 |   4:25 |    6s
  57 |   4:25 |   4:31 |    6s
  58 |   4:31 |   4:37 |    6s
  59 |   4:37 |   4:41 |    4s
  60 |   4:41 |   4:46 |    5s
  61 |   4:46 |   4:53 |    7s
  62 |   4:53 |   4:59 |    6s
  63 |   4:59 |   5:04 |    5s
  64 |   5:04 |   5:10 |    6s
  65 |   5:10 |   5:16 |    6s
  66 |   5:16 |   5:22 |    6s
  67 |   5:22 |   5:28 |    6s
  68 |   5:28 |   5:34 |    6s
  69 |   5:34 |   5:39 |    5s
  70 |   5:39 |   5:46 |    7s
  71 |   5:46 |   5:51 |    5s
  72 |   5:51 |   5:58 |    7s
  73 |   5:58 |   6:02 |    4s
  74 |   6:02 |   6:05 |    3s
  75 |   6:05 |   6:11 |    6s
  76 |   6:11 |   6:16 |    5s
  77 |   6:16 |   6:23 |    7s
  78 |   6:23 |   6:28 |    5s
  79 |   6:28 |   6:35 |    7s
  80 |   6:35 |   6:40 |    5s
  81 |   6:40 |   6:44 |    4s
  82 |   6:44 |   6:47 |    3s
  83 |   6:47 |   6:52 |    5s
  84 |   6:52 |   6:55 |    3s
  85 |   6:55 |   6:58 |    3s
----------------------------------
Images: 85   Covered: 6:58   Avg: 4.9s/image
